
Transactions
User,Olivier Brunel,ab12c34d-5e67-8901-2f34-5a6b78901c2d
Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2023-09-30 17:34:15 UTC,Staking Income,SOL,0.00001616,EUR,20.45,0.00,0.00,0,
2023-09-27 17:30:34 UTC,Staking Income,SOL,0.000015971,EUR,18.01,0.00,0.00,0,
2023-09-26 20:42:51 UTC,Staking Income,SOL,0.000016071,EUR,18.17,0.00,0.00,0,
2023-09-23 17:59:06 UTC,Staking Income,SOL,0.00001615,EUR,18.23,0.00,0.00,0,
2023-09-23 10:32:45 UTC,Staking Income,SOL,0.000016287,EUR,18.26,0.00,0.00,0,
2023-09-23 00:45:51 UTC,Staking Income,SOL,0.000016199,EUR,18.22,0.00,0.00,0,
2023-09-21 21:49:07 UTC,Staking Income,SOL,0.000016033,EUR,18.32,0.00,0.00,0,
2023-09-14 17:07:44 UTC,Staking Income,SOL,0.000016332,EUR,17.90,0.00,0.00,0,
2023-09-13 18:13:17 UTC,Staking Income,SOL,0.000016298,EUR,16.87,0.00,0.00,0,
2023-09-12 19:19:26 UTC,Staking Income,SOL,0.000016071,EUR,16.75,0.00,0.00,0,
2023-09-12 02:47:10 UTC,Staking Income,SOL,0.000016301,EUR,16.42,0.00,0.00,0,
2023-09-07 17:23:05 UTC,Staking Income,SOL,0.000016327,EUR,18.36,0.00,0.00,0,
2023-09-06 20:40:22 UTC,Staking Income,SOL,0.000016313,EUR,18.26,0.00,0.00,0,
2023-09-05 00:06:08 UTC,Receive,USDC,0.015081,EUR,0.93,0.01,0.01,0,Received 0.015081 USDC from 
2023-09-01 22:39:32 UTC,Staking Income,SOL,0.000016289,EUR,17.88,0.00,0.00,0,
2023-08-31 20:15:08 UTC,Staking Income,SOL,0.000016336,EUR,18.27,0.00,0.00,0,
2023-08-30 18:11:34 UTC,Staking Income,SOL,0.000016332,EUR,18.94,0.00,0.00,0,
2023-08-26 20:32:00 UTC,Staking Income,SOL,0.000016308,EUR,18.82,0.00,0.00,0,
2023-08-25 01:55:35 UTC,Staking Income,SOL,0.000016309,EUR,19.32,0.00,0.00,0,
2023-08-22 20:29:15 UTC,Staking Income,SOL,0.000016408,EUR,18.63,0.00,0.00,0,
2023-08-19 19:50:03 UTC,Staking Income,SOL,0.000008509,EUR,20.17,0.00,0.00,0,
2023-08-17 20:14:46 UTC,Staking Income,SOL,0.000016442,EUR,21.16,0.00,0.00,0,
2023-08-16 22:25:00 UTC,Staking Income,SOL,0.000016236,EUR,20.97,0.00,0.00,0,
2023-08-15 22:10:58 UTC,Staking Income,SOL,0.00001642,EUR,21.93,0.00,0.00,0,
2023-08-13 03:05:02 UTC,Staking Income,SOL,0.000016299,EUR,22.67,0.00,0.00,0,
2023-08-12 18:01:30 UTC,Staking Income,SOL,0.0000165,EUR,22.53,0.00,0.00,0,
2023-08-11 23:18:43 UTC,Staking Income,SOL,0.000016547,EUR,22.43,0.00,0.00,0,
2023-08-06 04:04:06 UTC,Staking Income,SOL,0.000016862,EUR,20.77,0.00,0.00,0,
2023-08-05 00:51:07 UTC,Receive,USDC,0.013416,EUR,0.91,0.01,0.01,0,Received 0.013416 USDC from 
2023-08-04 17:34:54 UTC,Staking Income,SOL,0.000016642,EUR,21.11,0.00,0.00,0,
2023-08-02 19:25:28 UTC,Staking Income,SOL,0.0000168,EUR,21.15,0.00,0.00,0,
2023-08-01 17:34:36 UTC,Staking Income,SOL,0.000016384,EUR,21.28,0.00,0.00,0,
2023-08-01 17:20:13 UTC,Staking Income,SOL,0.000016833,EUR,21.30,0.00,0.00,0,
2023-07-28 21:39:22 UTC,Staking Income,SOL,0.000016754,EUR,22.71,0.00,0.00,0,
2023-07-27 14:12:10 UTC,Staking Income,SOL,0.000016725,EUR,23.07,0.00,0.00,0,
2023-07-27 04:02:30 UTC,Staking Income,SOL,0.000016717,EUR,22.49,0.00,0.00,0,
2023-07-26 17:54:32 UTC,Staking Income,SOL,0.000016386,EUR,22.36,0.00,0.00,0,
2023-07-21 12:48:04 UTC,Receive,SOL,0.000003906,EUR,22.88,0.00,0.00,0,Received 0.000003906 SOL from 
2023-07-20 23:42:46 UTC,Receive,SOL,0.000000994,EUR,22.81,0.00,0.00,0,Received 0.000000994 SOL from 
2023-07-19 23:09:32 UTC,Staking Income,SOL,0.00001658,EUR,23.52,0.00,0.00,0,
2023-07-19 21:48:48 UTC,Staking Income,SOL,0.000016412,EUR,23.81,0.00,0.00,0,
2023-07-16 19:18:52 UTC,Staking Income,SOL,0.000016574,EUR,24.72,0.00,0.00,0,
2023-07-16 01:04:06 UTC,Receive,SOL,0.000003872,EUR,24.60,0.00,0.00,0,Received 0.000003872 SOL from 
2023-07-15 12:28:57 UTC,Receive,SOL,0.000008084,EUR,25.76,0.00,0.00,0,Received 0.000008084 SOL from 
2023-07-14 01:59:23 UTC,Staking Income,SOL,0.000016568,EUR,26.13,0.00,0.00,0,
